difficulty,proficiency_group,submission_rank,delta_seconds,next_status
F,G6,1,2602,TLE
F,G6,2,25,TLE
F,G6,3,293,TLE
F,G6,4,113,TLE
F,G6,5,726,TLE
F,G6,6,,Abandon
D,G6,1,945,TLE
D,G6,2,157,AC
E,G6,1,849,TLE
E,G6,2,193,TLE
E,G6,3,223,RE
E,G6,5,713,WA
E,G6,3,250,TLE
E,G6,4,569,TLE
E,G6,5,540,RE
E,G6,1,176,TLE
E,G6,2,221,TLE
E,G6,3,387,TLE
E,G6,4,339,WA
F,G6,2,,Abandon
C,G6,2,1337,AC
C,G6,1,1171,TLE
C,G6,2,1222,TLE
C,G6,3,159,TLE
C,G6,4,2142,TLE
C,G6,5,1206,AC
D,G6,1,3139,RE
D,G6,1,912,TLE
D,G6,2,258,RE
D,G6,4,35191,WA
D,G6,1,502,WA
D,G6,5,3659,RE
D,G6,1,333,TLE
D,G6,2,422,TLE
D,G6,3,902,AC
C,G3,1,1219,AC
F,G5,1,388,WA
D,G5,2,,Abandon
E,G5,2,801,WA
D,G5,1,149,AC
D,G5,1,600,TLE
D,G5,2,1126,WA
E,G5,1,656,AC
D,G5,1,464,AC
D,G5,3,558,AC
D,G5,1,789,WA
C,G5,1,746,WA
D,G5,1,261018,AC
C,G5,1,1167,WA
C,G5,4,780,RE
D,G5,1,67,WA
D,G5,1,512,AC
C,G5,1,1028,WA
C,G5,1,1378,AC
C,G5,1,202,AC
C,G5,1,858,AC
D,G5,1,,Abandon
B,G5,1,373,WA
D,G5,2,460,AC
C,G3,1,206,AC
B,G5,3,640,RE
D,G5,1,,Abandon
C,G4,1,,Abandon
C,G4,1,815,AC
D,G4,1,669,AC
B,G4,1,515,AC
D,G4,2,345,CE
D,G4,4,2205,CE
D,G4,6,,Abandon
E,G4,1,552,TLE
E,G4,2,288,TLE
E,G4,3,995,TLE
E,G4,4,891,WA
C,G4,1,1717,AC
C,G4,3,83352,AC
C,G4,5,2713,TLE
C,G4,6,,Abandon
B,G4,1,19275849,AC
C,G4,1,1239,WA
E,G4,2,51,TLE
E,G4,3,,Abandon
D,G4,1,,Abandon
E,G4,1,,Abandon
D,G4,1,139,TLE
D,G4,2,291,TLE
D,G4,3,195,TLE
D,G4,4,1471,TLE
D,G4,5,1676,TLE
D,G4,6,82836,AC
C,G4,1,2668,AC
D,G4,1,,Abandon
D,G4,1,,Abandon
E,G4,1,,Abandon
D,G4,1,258,AC
D,G4,3,161,AC
D,G4,1,1346,TLE
D,G4,2,,Abandon
D,G4,1,170,AC
D,G4,1,,Abandon
B,G4,1,268,AC
B,G4,1,105,TLE
B,G4,2,266,TLE
B,G4,3,235,AC
C,G2,2,411,TLE
C,G2,3,241,TLE
C,G2,4,,Abandon
D,G4,1,250,TLE
D,G4,2,8303,WA
D,G4,4,5535,CE
D,G4,6,334,TLE
D,G4,7,445,AC
D,G4,9,,Abandon
D,G6,2,1208,TLE
D,G6,3,89,WA
D,G6,2,377,RE
D,G6,4,605,WA
D,G6,11,3211,AC
D,G6,1,451,WA
D,G6,3,141,WA
D,G6,1,,Abandon
D,G6,1,2020,AC
D,G6,5,,Abandon
D,G6,1,425,AC
D,G6,1,300,TLE
D,G6,2,219,TLE
D,G6,3,567,AC
D,G6,1,38857,AC
D,G6,1,2505,RE
D,G6,1,101,TLE
D,G6,2,238,AC
F,G6,1,706,TLE
F,G6,2,,Abandon
F,G6,1,83536,WA
F,G6,5,698,TLE
F,G6,6,43735,WA
C,G6,2,114,WA
D,G6,1,1489,WA
D,G6,1,1104,RE
D,G6,3,1112,AC
C,G6,1,801,TLE
C,G6,2,78,TLE
C,G6,3,382,AC
C,G6,1,318,AC
D,G6,1,158,AC
D,G6,1,,Abandon
C,G6,1,733,AC
C,G6,9,612,WA
C,G6,1,90,TLE
C,G6,2,,Abandon
C,G6,1,3884,AC
B,G6,2,770,WA
C,G6,2,370,TLE
C,G6,3,197,WA
C,G6,7,148,AC
B,G6,1,99,WA
F,G6,5,66,AC
F,G6,7,,Abandon
E,G6,1,1227,WA
E,G6,9,1107,AC
D,G6,2,,Abandon
E,G6,1,2958,RE
E,G6,3,2058,RE
E,G6,8,317,AC
D,G6,10,575,TLE
D,G6,11,647,TLE
D,G6,12,788,TLE
D,G6,13,1004,TLE
D,G6,14,634,AC
E,G6,2,107,TLE
E,G6,3,,Abandon
E,G6,1,230,TLE
E,G6,2,42825,AC
F,G6,1,94,TLE
F,G6,2,23,AC
F,G6,4,42,TLE
F,G6,5,1639,TLE
F,G6,6,90,AC
F,G6,9,225,AC
F,G6,12,142,TLE
F,G6,13,265,TLE
F,G6,14,172,AC
D,G6,5,505,AC
E,G6,2,186,AC
D,G6,1,645,RE
F,G6,2,126,AC
F,G6,5,354,TLE
F,G6,6,322,WA
E,G6,1,43801,WA
E,G6,2,37965,AC
D,G6,1,1494,TLE
D,G6,2,2240,TLE
D,G6,3,7216638,TLE
D,G6,4,120,TLE
D,G6,5,169,TLE
D,G6,6,56,TLE
D,G6,7,499,TLE
D,G6,8,1557,AC
E,G6,1,,Abandon
E,G6,1,512,TLE
E,G6,2,146,WA
E,G6,4,362,TLE
E,G6,5,36148,AC
F,G6,3,5332,TLE
F,G6,4,6268,TLE
F,G6,5,198,WA
F,G6,8,226,WA
D,G6,1,856,AC
D,G6,1,1044,WA
D,G6,1,10090284,TLE
D,G6,2,418,TLE
D,G6,3,56,AC
D,G6,5,548,TLE
D,G6,6,726,TLE
D,G6,7,424,AC
D,G6,5,1241,AC
C,G6,2,107,TLE
C,G6,3,377,TLE
C,G6,4,610,TLE
C,G6,5,383,TLE
C,G6,6,220,TLE
C,G6,7,230,TLE
C,G6,8,28,WA
C,G6,10,382,AC
C,G6,12,127381,WA
C,G6,17,5924,AC
D,G6,2,1507,TLE
D,G6,3,4006,TLE
D,G6,4,3172527,WA
D,G6,1,348,TLE
D,G6,2,48,TLE
D,G6,3,2685,TLE
D,G6,4,1012,AC
D,G6,1,215,RE
E,G6,1,1376,TLE
E,G6,2,1205,TLE
E,G6,3,851,TLE
E,G6,4,,Abandon
D,G6,2,121,AC
D,G6,1,1446,TLE
D,G6,2,955,TLE
D,G6,3,345,TLE
D,G6,4,1208,AC
C,G6,1,1173,TLE
C,G6,2,250,RE
C,G6,5,238,WA
C,G6,7,270,TLE
C,G6,8,143,TLE
C,G6,9,595,RE
C,G6,12,247,AC
C,G6,15,188,AC
D,G6,1,36989,TLE
D,G6,2,935,TLE
D,G6,3,455,WA
D,G6,6,72,TLE
D,G6,7,976,TLE
D,G6,8,139,AC
C,G6,1,762,WA
D,G6,1,844,TLE
D,G6,2,935,WA
F,G6,1,212,TLE
F,G6,2,2132,TLE
F,G6,3,568333,TLE
F,G6,4,,Abandon
C,G6,2,268,TLE
C,G6,3,1062,TLE
C,G6,4,15,TLE
C,G6,5,131,TLE
C,G6,6,24594,TLE
C,G6,7,496,RE
C,G6,9,556,AC
D,G6,2,35,AC
D,G6,4,1029,TLE
D,G6,5,7602170,WA
D,G6,8,2592,TLE
D,G6,9,1522,AC
D,G6,1,361,AC
C,G6,1,478,AC
C,G6,1,165,TLE
C,G6,2,897,AC
D,G6,1,5575,AC
C,G6,1,396,TLE
C,G6,2,1424,RE
B,G6,2,413,RE
C,G6,1,3736304,TLE
C,G6,2,2498,TLE
C,G6,3,832,AC
D,G4,1,,Abandon
D,G4,1,15932,TLE
D,G4,2,4825,AC
B,G4,1,5555,CE
C,G4,1,1047,TLE
C,G4,2,339,TLE
C,G4,3,2483,AC
D,G4,1,1636,WA
B,G4,1,446,TLE
B,G4,2,244,TLE
B,G4,3,2105,WA
B,G4,5,1093,AC
C,G4,1,3184,RE
D,G4,1,395,WA
D,G4,1,411,WA
D,G4,3,979,AC
D,G4,1,4048,TLE
D,G4,2,242,RE
D,G4,4,545,RE
D,G4,1,912,TLE
D,G4,2,744,RE
D,G4,1,5536,TLE
D,G4,2,332,TLE
D,G4,3,835,TLE
D,G4,4,942,AC
C,G4,1,788,TLE
C,G4,2,4552,TLE
C,G4,3,650,AC
C,G4,6,,Abandon
D,G4,1,3814,AC
C,G4,1,217,AC
C,G4,1,1183,AC
B,G4,1,365,WA
B,G4,3,587,AC
C,G4,1,271,TLE
C,G4,2,937,AC
B,G4,1,285,CE
C,G4,1,1259,AC
C,G4,2,532,TLE
C,G4,3,245,WA
D,G5,1,8363,WA
F,G5,3,18421,WA
C,G5,1,1334,TLE
C,G5,2,1138,WA
C,G5,4,181,AC
D,G6,1,530,AC
D,G6,1,2929,AC
D,G6,1,7723,WA
D,G6,1,1259,WA
C,G6,3,4678,WA
D,G4,1,963,RE
C,G3,2,,Abandon
C,G2,1,,Abandon
D,G6,1,,Abandon
E,G6,1,169,TLE
E,G6,2,540,AC
D,G6,4,808,AC
D,G6,2,3186,WA
D,G6,4,10,TLE
D,G6,5,476531,AC
D,G6,4,239,TLE
D,G6,5,249,TLE
D,G6,6,129,AC
C,G6,1,971,AC
E,G6,1,299,AC
D,G6,1,515,AC
E,G6,1,149,TLE
E,G6,2,236,TLE
E,G6,3,10,TLE
E,G6,4,106,TLE
E,G6,5,662,TLE
E,G6,6,233,WA
E,G6,9,519,RE
E,G6,1,3619032,AC
D,G6,2,3335,TLE
D,G6,3,781,AC
D,G6,1,139,TLE
D,G6,2,506,AC
F,G6,1,1617,AC
E,G6,1,45,TLE
E,G6,2,686,TLE
E,G6,3,28,TLE
E,G6,4,181,AC
D,G6,1,184,TLE
D,G6,2,21,TLE
D,G6,3,1275,TLE
D,G6,4,130,TLE
D,G6,5,289,TLE
D,G6,6,306,TLE
D,G6,7,207,TLE
D,G6,8,89,AC
B,G6,1,83,AC
F,G6,3,,Abandon
F,G6,3,101,TLE
F,G6,4,187,TLE
F,G6,5,597,TLE
F,G6,6,420,TLE
F,G6,7,1400,AC
F,G6,9,,Abandon
D,G6,4,315,TLE
D,G6,5,89,TLE
D,G6,6,213,AC
C,G6,1,143,RE
C,G6,4,298,TLE
C,G6,5,327,TLE
C,G6,6,587,TLE
C,G6,7,21768823,AC
C,G6,1,642,WA
C,G6,3,4224,RE
C,G6,1,449,RE
C,G6,3,5907,CE
B,G6,2,3503,AC
D,G6,4,29,TLE
D,G6,5,1207,AC
D,G6,1,719,AC
C,G4,4,126,TLE
C,G4,5,1519,WA
D,G6,4,1057,TLE
D,G6,5,114,AC
E,G5,3,1404,WA
E,G5,6,65415,WA
E,G5,1,6540,WA
C,G5,2,2214,AC
D,G5,2,644,TLE
D,G5,3,661,RE
D,G5,5,2312,RE
D,G5,9,,Abandon
D,G4,1,,Abandon
D,G4,1,342,TLE
D,G4,2,250,TLE
D,G4,3,96352,WA
C,G4,3,295,WA
D,G4,1,285,TLE
D,G4,2,28919,WA
C,G3,2,,Abandon
D,G5,1,,Abandon
C,G5,1,13391,AC
C,G5,1,,Abandon
C,G5,1,895,AC
D,G4,2,126,TLE
D,G4,3,,Abandon
C,G4,1,464,WA
C,G4,3,1499,AC
D,G4,6,186,TLE
D,G4,7,,Abandon
C,G4,1,,Abandon
D,G4,1,726,TLE
D,G4,2,,Abandon
F,G3,1,,Abandon
C,G6,1,478,AC
D,G4,5,13928,AC
C,G4,9,155,TLE
C,G4,10,175,WA
C,G4,2,29,TLE
C,G4,3,384,TLE
C,G4,4,61,TLE
C,G4,5,297,AC
C,G4,1,41,TLE
C,G4,2,1879,WA
C,G4,1,688,AC
C,G4,1,52,TLE
C,G4,2,,Abandon
D,G4,1,1321,WA
A,G3,1,286,CE
C,G3,1,,Abandon
F,G6,1,124972,WA
F,G6,1,153,AC
F,G6,3,236,AC
E,G6,1,223,AC
D,G6,3,154,AC
D,G6,6,47,AC
F,G6,1,1112,WA
F,G6,2,147,AC
E,G6,3,316,TLE
E,G6,4,851,WA
F,G6,2,177,TLE
F,G6,3,164,TLE
F,G6,4,279,WA
E,G6,5,320,AC
E,G6,1,153,WA
E,G6,3,665,AC
F,G6,1,864675,AC
F,G6,1,555,AC
D,G6,3,793,WA
C,G6,1,424,TLE
C,G6,2,6071,AC
C,G6,2,1182,TLE
C,G6,3,53185,AC
C,G6,1,1158,AC
D,G6,4,111,TLE
D,G6,5,159,TLE
D,G6,6,415,AC
D,G6,1,277,AC
D,G2,1,218,TLE
D,G2,2,,Abandon
C,G4,1,903,WA
D,G4,1,4127742,TLE
D,G4,2,644,WA
D,G4,2,893,TLE
D,G4,3,,Abandon
C,G5,1,465,AC
D,G5,5,988,WA
D,G5,9,507,WA
C,G5,1,493,TLE
C,G5,2,331,TLE
C,G5,3,5316326,AC
D,G5,1,866773,WA
C,G5,2,400,WA
B,G5,1,312,AC
D,G4,2,296,TLE
D,G4,3,1169,RE
E,G5,1,,Abandon
D,G5,1,334,TLE
D,G5,2,323,AC
E,G5,4,596,WA
E,G5,16,5634,WA
D,G5,1,3899,TLE
D,G5,2,4135,AC
D,G5,5,48,WA
E,G5,8,144,AC
D,G5,8,70,AC
D,G5,14,151,TLE
D,G5,15,42,TLE
D,G5,16,687,TLE
D,G5,17,70,WA
D,G5,19,63,WA
D,G5,24,99,CE
D,G5,26,3851,TLE
D,G5,27,393,WA
D,G5,29,255,WA
C,G5,1,402,AC
D,G5,1,100,WA
D,G5,5,77,WA
D,G5,10,176,WA
D,G5,14,61,WA
D,G5,1,602,AC
C,G5,1,627,AC
C,G5,3,,Abandon
D,G5,1,46859,AC
D,G5,2,12238,AC
D,G5,1,1611,AC
D,G5,3,,Abandon
C,G5,1,83458,TLE
C,G5,2,402,CE
C,G5,4,991,AC
C,G5,7,962,WA
D,G5,1,562,TLE
D,G5,2,866,AC
C,G5,1,167,TLE
C,G5,2,141,WA
C,G5,4,81,RE
C,G5,11,118,AC
C,G5,1,317,AC
C,G5,1,5452,AC
D,G5,6,14843854,AC
B,G5,1,597,AC
D,G5,3,56,TLE
D,G5,4,54847,WA
C,G5,2,10452481,TLE
C,G5,3,8907,AC
C,G5,15,349,AC
D,G6,3,454,TLE
D,G6,4,2004,RE
C,G6,3,517,AC
E,G6,6,177,AC
D,G6,6,50,TLE
D,G6,7,114,AC
C,G6,2,3196,WA
D,G6,1,162,TLE
D,G6,2,403,AC
C,G4,1,943,AC
D,G4,2,274,WA
D,G4,5,,Abandon
C,G4,2,247,TLE
C,G4,3,166,WA
D,G4,2,4028,TLE
D,G4,3,4339,WA
C,G4,1,165,TLE
C,G4,2,,Abandon
D,G4,3,501,RE
D,G4,5,4770,TLE
D,G4,6,734,TLE
D,G4,7,1292,TLE
D,G4,8,484,TLE
D,G4,9,276,RE
D,G4,11,858,TLE
D,G4,12,,Abandon
C,G4,1,,Abandon
C,G4,1,,Abandon
C,G4,1,410,TLE
C,G4,2,178,TLE
C,G4,3,1490,TLE
C,G4,4,1033,AC
D,G3,1,939,TLE
D,G3,2,,Abandon
C,G3,3,197,TLE
C,G3,4,539,AC
D,G4,1,380,AC
D,G4,1,,Abandon
D,G4,4,3737,WA
C,G4,5,679,TLE
C,G4,6,2638,AC
C,G4,9,1005,TLE
C,G4,10,3146,AC
D,G4,3,619,AC
C,G4,3,4891,RE
C,G4,2,275,TLE
C,G4,3,171,TLE
C,G4,4,1668,WA
C,G4,1,239,TLE
C,G4,2,722,AC
C,G4,1,697,TLE
C,G4,2,1576,AC
B,G4,3,24872843,AC
C,G4,2,1956,WA
D,G4,1,,Abandon
D,G4,1,231,AC
D,G4,1,,Abandon
D,G4,1,115,TLE
D,G4,2,,Abandon
B,G4,1,222,TLE
B,G4,2,128,WA
B,G4,1,47,AC
D,G3,1,,Abandon
B,G4,2,665,AC
C,G4,1,1245,WA
C,G4,5,464,TLE
C,G4,6,980,AC
C,G3,1,,Abandon
C,G3,5,152,AC
D,G3,1,517,WA
D,G3,1,214,TLE
D,G3,2,364,TLE
D,G3,3,321,RE
B,G3,1,68,TLE
B,G3,2,855,WA
D,G4,1,,Abandon
D,G4,2,173,TLE
D,G4,3,,Abandon
D,G4,1,,Abandon
C,G4,1,481,AC
D,G4,2,420,TLE
D,G4,3,1825,WA
D,G4,2,495,WA
D,G4,1,364,TLE
D,G4,2,252,TLE
D,G4,3,,Abandon
D,G4,1,437,TLE
D,G4,2,994,TLE
D,G4,3,1114,TLE
D,G4,4,1101,TLE
D,G4,5,,Abandon
E,G4,1,230,TLE
E,G4,2,,Abandon
D,G4,1,,Abandon
C,G4,1,852,TLE
C,G4,2,1020,TLE
C,G4,3,1408,WA
C,G4,1,480,AC
D,G4,1,207,TLE
D,G4,2,538,AC
D,G3,1,,Abandon
C,G2,1,1884,WA
D,G5,1,109,TLE
D,G5,2,1312,AC
D,G5,1,459,TLE
D,G5,2,,Abandon
C,G5,1,1636,TLE
C,G5,2,71909,AC
F,G5,1,67,TLE
F,G5,2,,Abandon
D,G6,3,64,AC
D,G6,1,1326,TLE
D,G6,2,1829,TLE
D,G6,3,209,TLE
D,G6,4,128,WA
D,G6,6,712,AC
D,G6,3,198,TLE
D,G6,4,52,AC
B,G6,2,1092,RE
F,G6,1,700,AC
D,G6,5,115,AC
E,G6,2,75,TLE
E,G6,3,126,TLE
E,G6,4,251,TLE
E,G6,5,3044,WA
D,G6,1,273,TLE
D,G6,2,391,WA
E,G6,4,84,AC
E,G6,11,389,AC
F,G6,3,1066,WA
D,G6,5,2244,AC
D,G6,4,445,TLE
D,G6,5,1543,AC
E,G6,4,7885,AC
D,G6,1,1571,CE
E,G6,1,149,TLE
E,G6,2,89,TLE
E,G6,3,102,TLE
E,G6,4,41500,AC
E,G6,7,178,AC
C,G6,1,182,TLE
C,G6,2,245,TLE
C,G6,3,269,TLE
C,G6,4,1076,AC
D,G6,2,827,TLE
D,G6,3,292,TLE
D,G6,4,893,TLE
D,G6,5,10565,AC
E,G6,1,417,TLE
E,G6,2,13057217,WA
C,G6,1,962,TLE
C,G6,2,3102,WA
D,G6,2,186,TLE
D,G6,3,68,TLE
D,G6,4,3728,TLE
D,G6,5,102,TLE
D,G6,6,88980,TLE
D,G6,7,1529,CE
D,G6,1,326,TLE
D,G6,2,1944,TLE
D,G6,3,532,RE
C,G6,1,264,AC
C,G6,1,1332,WA
D,G6,1,1666,TLE
D,G6,2,240,TLE
D,G6,3,854,WA
D,G6,1,202,TLE
D,G6,2,332,TLE
D,G6,3,453,WA
B,G6,1,38,WA
C,G6,1,151,AC
C,G2,1,1133,TLE
C,G2,2,249,TLE
C,G2,3,,Abandon
B,G4,1,305,AC
E,G6,1,219,WA
E,G6,3,201,AC
D,G2,1,1953,TLE
D,G2,2,,Abandon
C,G2,1,,Abandon
E,G6,1,301,TLE
E,G6,2,114,TLE
E,G6,3,89,CE
E,G6,5,343,TLE
E,G6,6,49,TLE
E,G6,7,208,TLE
E,G6,8,25,TLE
E,G6,9,157,TLE
E,G6,10,32,CE
E,G6,12,148,TLE
E,G6,13,117,TLE
E,G6,14,42,AC
F,G6,1,446715,WA
F,G6,1,1860,AC
E,G6,6,167,AC
B,G6,2,,Abandon
C,G6,1,140,AC
C,G3,1,3119,WA
B,G3,1,,Abandon
E,G6,1,544,TLE
E,G6,2,112,CE
E,G6,4,202,WA
C,G6,1,143,TLE
C,G6,2,156,TLE
C,G6,3,904,AC
D,G6,1,147,AC
B,G4,3,2531,RE
C,G2,1,1818,TLE
C,G2,2,,Abandon
C,G4,2,187,WA
C,G4,2,5184351,TLE
C,G4,3,489,RE
C,G4,2,114,TLE
C,G4,3,814,RE
C,G4,2,1364,RE
C,G4,4,853,RE
C,G4,1,,Abandon
B,G4,1,324,WA
C,G4,2,383,AC
C,G4,2,342,RE
B,G4,1,130,RE
D,G4,1,489,WA
D,G4,3,243,WA
D,G2,1,247,TLE
D,G2,2,391,TLE
D,G2,3,,Abandon
C,G3,1,372,TLE
C,G3,2,365175,CE
B,G2,2,567,AC
C,G3,1,105,TLE
C,G3,2,,Abandon
D,G5,1,1153,WA
D,G5,1,1410,WA
D,G5,2,1068,WA
D,G5,1,242,AC
D,G5,1,,Abandon
D,G5,1,2931,RE
D,G4,1,899,AC
B,G1,2,324,CE
B,G3,1,75185,WA
C,G3,5,1942,AC
F,G6,13,36,TLE
F,G6,14,41,RE
F,G6,17,15541,CE
D,G4,1,256,TLE
D,G4,2,,Abandon
B,G4,4,644,TLE
B,G4,5,6446,RE
C,G4,1,135,WA
C,G4,5,705,AC
C,G4,1,662,TLE
C,G4,2,7116,RE
C,G4,1,375,AC
C,G3,1,399,TLE
C,G3,2,2381523,AC
C,G3,1,902,TLE
C,G3,2,,Abandon
D,G3,1,,Abandon
D,G4,1,306,TLE
D,G4,2,368,TLE
D,G4,3,1521,WA
D,G4,6,1101,RE
C,G4,7,,Abandon
C,G2,1,217,TLE
C,G2,2,,Abandon
C,G3,1,93438,CE
C,G5,1,236,TLE
C,G5,2,76,TLE
C,G5,3,318,WA
C,G5,2,491,TLE
C,G5,3,2439,WA
D,G5,1,,Abandon
D,G5,1,,Abandon
C,G5,1,402,AC
D,G4,1,,Abandon
C,G4,4,1924,AC
B,G3,1,297,WA
D,G3,1,,Abandon
E,G5,1,334583,TLE
E,G5,2,636,TLE
E,G5,3,9984,WA
D,G3,1,,Abandon
D,G4,4,495,AC
D,G3,1,,Abandon
D,G4,1,,Abandon
B,G4,4,464,WA
C,G4,1,,Abandon
C,G4,7,4547,TLE
C,G4,8,289,TLE
C,G4,9,336422,TLE
C,G4,10,267,TLE
C,G4,11,589,TLE
C,G4,12,1306373,WA
C,G3,1,315,TLE
C,G3,2,2401,AC
D,G5,5,418,WA
D,G5,1,342,TLE
D,G5,2,46,TLE
D,G5,3,3009694,AC
B,G5,1,680,TLE
B,G5,2,1014,TLE
B,G5,3,1234,WA
D,G5,1,1683,WA
D,G5,1,261,CE
D,G5,3,567,TLE
D,G5,4,37586,TLE
D,G5,5,7952,TLE
D,G5,6,144,TLE
D,G5,7,27671,TLE
D,G5,8,2264,AC
D,G5,1,323,TLE
D,G5,2,4958,AC
C,G5,2,532,TLE
C,G5,3,4890,TLE
C,G5,4,297,TLE
C,G5,5,,Abandon
D,G5,2,,Abandon
C,G5,1,532,TLE
C,G5,2,722,AC
C,G5,1,440,TLE
C,G5,2,499,AC
E,G4,1,,Abandon
C,G4,1,676,AC
C,G4,2,,Abandon
D,G4,1,4030069,TLE
D,G4,2,2940,WA
D,G4,1,666,TLE
D,G4,2,,Abandon
D,G4,1,1698,WA
D,G4,1,1034,TLE
D,G4,2,474,TLE
D,G4,3,733,TLE
D,G4,4,,Abandon
C,G4,1,850,CE
C,G4,3,1514,AC
D,G4,1,,Abandon
C,G4,1,918,WA
C,G3,1,1317,TLE
C,G3,2,173,TLE
C,G3,3,196,TLE
C,G3,4,132,TLE
C,G3,5,162,TLE
C,G3,6,1008,TLE
C,G3,7,545,TLE
C,G3,8,,Abandon
C,G3,1,1126,TLE
C,G3,2,241,TLE
C,G3,3,,Abandon
C,G3,1,1740,AC
D,G4,1,847,WA
D,G4,4,3373,AC
D,G3,1,802,TLE
D,G3,2,326,TLE
D,G3,3,,Abandon
C,G3,1,2935,WA
C,G3,3,626,TLE
C,G3,4,283,WA
C,G3,7,,Abandon
D,G3,1,,Abandon
C,G3,2,,Abandon
C,G3,1,2407,TLE
C,G3,2,80,TLE
C,G3,3,145691,AC
D,G4,1,818,TLE
D,G4,2,539,WA
D,G4,1,,Abandon
D,G4,4,372,TLE
D,G4,5,163,WA
D,G4,1,259,TLE
D,G4,2,1918,CE
C,G4,1,194,WA
D,G4,10,,Abandon
C,G4,1,1728,WA
C,G4,4,79,WA
C,G4,6,177,TLE
C,G4,7,286,TLE
C,G4,8,438,WA
D,G4,3,79,WA
D,G4,1,2338,WA
C,G4,2,1100062,AC
D,G4,1,2373,WA
D,G4,1,4227,WA
D,G4,3,520,WA
D,G6,1,242678,AC
C,G6,2,119,AC
E,G5,1,44375,AC
E,G6,1,255,TLE
E,G6,2,11156,WA
E,G5,1,,Abandon
A,G2,1,253,TLE
A,G2,2,79,TLE
A,G2,3,389,WA
B,G4,2,307,AC
D,G4,1,480,TLE
D,G4,2,254,WA
D,G4,4,210,WA
C,G4,1,368,TLE
C,G4,2,105,TLE
C,G4,3,446,TLE
C,G4,4,336,WA
C,G4,6,,Abandon
C,G4,2,712,TLE
C,G4,3,404,AC
C,G4,5,233,TLE
C,G4,6,,Abandon
D,G6,3,86,TLE
D,G6,4,,Abandon
E,G6,1,201,WA
E,G6,1,1792,TLE
E,G6,2,440,WA
E,G6,5,149,TLE
E,G6,6,73922,AC
D,G6,1,277,TLE
D,G6,2,115,TLE
D,G6,3,383,TLE
D,G6,4,307,WA
D,G6,6,1017,WA
D,G6,1,564,TLE
D,G6,2,308,AC
E,G6,1,1425,AC
E,G6,3,521,RE
D,G6,1,102,TLE
D,G6,2,878,WA
D,G6,4,1121,WA
D,G6,1,1504,WA
C,G6,1,278,AC
D,G6,1,295,AC
D,G6,1,6906,TLE
D,G6,2,2140,AC
D,G6,1,507,AC
D,G6,1,37278,TLE
D,G6,2,809,AC
D,G6,1,228,TLE
D,G6,2,163,AC
D,G6,1,131,TLE
D,G6,2,676,AC
E,G6,1,820,AC
C,G6,1,202,TLE
C,G6,2,280,TLE
C,G6,3,,Abandon
C,G6,1,759,AC
D,G6,2,565,WA
B,G3,1,,Abandon
D,G6,1,104,AC
D,G6,1,272,AC
D,G6,3,562,WA
C,G6,2,1166,TLE
C,G6,3,1281,AC
D,G6,1,663,TLE
D,G6,2,753,TLE
D,G6,3,189,TLE
D,G6,4,131,TLE
D,G6,5,119,TLE
D,G6,6,252,TLE
D,G6,7,361,TLE
D,G6,8,2123,WA
C,G6,2,553,WA
C,G4,1,622,AC
D,G4,1,451,WA
D,G4,3,16,TLE
D,G4,4,113,WA
E,G5,1,387,TLE
E,G5,2,361,TLE
E,G5,3,525,TLE
E,G5,4,583,TLE
E,G5,5,296,TLE
E,G5,6,104,AC
E,G5,8,61,AC
E,G5,10,,Abandon
D,G5,1,714,RE
B,G5,1,237,WA
B,G5,6,,Abandon
C,G5,1,274,WA
D,G5,1,971,RE
D,G5,5,,Abandon
D,G5,1,1461051,AC
D,G5,2,248,TLE
D,G5,3,280,TLE
D,G5,4,134,TLE
D,G5,5,126,AC
D,G5,2,246,TLE
D,G5,3,1196867,AC
D,G5,1,594057,WA
D,G5,4,165,TLE
D,G5,5,5471,AC
D,G5,2,401,AC
D,G5,1,634,TLE
D,G5,2,3011585,WA
D,G5,4,331519,AC
D,G5,3,2187,AC
D,G5,2,,Abandon
C,G3,1,732,AC
C,G3,1,444,RE
C,G4,1,87457,WA
C,G4,1,999,TLE
C,G4,2,2683,TLE
C,G4,3,830,TLE
C,G4,4,2321,AC
C,G4,1,2704,TLE
C,G4,2,592,AC
C,G4,1,2301,WA
C,G4,3,402,AC
C,G4,1,1413079,WA
C,G4,3,923,WA
B,G4,1,366,AC
C,G4,1,1585,WA
B,G4,2,5357078,WA
D,G4,1,,Abandon
D,G4,1,1691,CE
D,G4,5,696,TLE
D,G4,6,188,TLE
D,G4,7,1963,WA
E,G4,1,,Abandon
C,G3,2,7139,WA
D,G2,1,382,TLE
D,G2,2,,Abandon
A,G2,1,581,WA
B,G2,3,659,WA
D,G6,4,122,WA
D,G6,6,299,AC
B,G6,2,112,WA
E,G6,1,1784,WA
E,G6,5,6716,TLE
E,G6,6,474,WA
E,G6,1,454,WA
E,G6,3,157,TLE
E,G6,4,,Abandon
E,G6,1,1375,TLE
E,G6,2,906,WA
D,G6,1,250,WA
D,G6,1,1909,TLE
D,G6,2,726,TLE
D,G6,3,34,TLE
D,G6,4,2529,TLE
D,G6,5,638,TLE
D,G6,6,794,WA
D,G6,1,347,TLE
D,G6,2,251,WA
D,G6,4,393,TLE
D,G6,5,6094,AC
D,G6,1,127,AC
C,G6,2,194,WA
C,G6,4,2148,TLE
C,G6,5,182,TLE
