difficulty,proficiency_group,submission_rank,delta_seconds,next_status
C,G2,1,,Abandon
C,G4,1,194,TLE
C,G4,2,248,TLE
C,G4,3,151,TLE
C,G4,4,836,AC
B,G4,1,91,TLE
B,G4,2,247,TLE
B,G4,3,48,TLE
B,G4,4,278,AC
E,G4,1,883,TLE
E,G4,2,,Abandon
D,G4,1,181,TLE
D,G4,2,253,TLE
D,G4,3,2859,TLE
D,G4,4,,Abandon
C,G4,1,1266,AC
E,G4,1,,Abandon
D,G4,1,,Abandon
D,G4,2,,Abandon
D,G4,1,614,TLE
D,G4,2,314,TLE
D,G4,3,,Abandon
D,G4,1,,Abandon
D,G4,1,369,TLE
D,G4,2,2005,TLE
D,G4,3,,Abandon
D,G4,2,,Abandon
D,G4,1,1232,TLE
D,G4,2,,Abandon
C,G4,1,502,TLE
C,G4,2,511,AC
D,G4,1,,Abandon
D,G4,1,1911,TLE
D,G4,2,394,TLE
D,G4,3,,Abandon
D,G4,1,2619,TLE
D,G4,2,303,TLE
D,G4,3,251,TLE
D,G4,4,,Abandon
C,G4,2,438,AC
C,G4,1,2923,RE
C,G4,3,,Abandon
C,G4,1,360,TLE
C,G4,2,,Abandon
D,G4,1,,Abandon
C,G4,1,8603,RE
C,G4,3,485,TLE
C,G4,4,,Abandon
D,G3,1,,Abandon
C,G4,2,1521,WA
C,G4,2,524,AC
D,G4,1,443,TLE
D,G4,2,1175,TLE
D,G4,3,1081,CE
D,G4,7,,Abandon
C,G4,1,875,AC
A,G4,1,846,CE
A,G4,7,693,TLE
A,G4,8,230,TLE
A,G4,9,210,WA
C,G4,1,1468,WA
C,G4,3,3209,WA
C,G3,1,9706,AC
D,G3,1,634,WA
C,G3,1,173,WA
C,G3,3,4772,RE
D,G3,2,2017,WA
C,G4,6,607,WA
D,G4,3,85694,TLE
D,G4,4,,Abandon
C,G4,3,234,AC
D,G5,7,106,RE
D,G5,9,218,RE
D,G5,12,858,TLE
D,G5,13,333,TLE
D,G5,14,346111,AC
E,G5,4,1464,TLE
E,G5,5,751,TLE
E,G5,6,245,AC
E,G5,8,,Abandon
E,G5,2,22,AC
E,G5,1,2734415,AC
F,G5,2,,Abandon
D,G5,2,27143,TLE
